ACCE_ABSORB_COST	Kombinasyon maliyeti: %d
TOOLTIP_AFFECT_PASWAE	5 saniye boyunca savunma ve hareket hýzýný düþürür.
TOOLTIP_AFFECT_POLYMORPH	Dönüþüm	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Kiþisel premium dükkan	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	Tatlýlar \n+10 hareket hýzý \n+%5 saldýrý hasarý \n+%10 EXP	SNA
TOOLTIP_AFFECT_RANJU	Punç \n+10 hareket hýzý \n+%5 saldýrý hasarý \n+%10 EXP	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Soðuma süresini artýr	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Beceri hasarýna dayanýklýlýk +%15 | Normal saldýrý hasarýna dayanýklýlýk +%15	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	Etkinleþtirildiðinde bir sonraki arýndýrmanýn tek seferlik herhangi bir malzeme tüketmemesini saðlar.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Araþtýrmacýnýn özütü	SNA
TOOLTIP_AFFECT_RHP_REGEN	Dinlenmek mümkün deðil	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Depo bonusu\n +%3 EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Depo bonusu\n+20 savunma	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Depo bonusu\n+%1 hayat puaný	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Depo bonusu\n+%3 canavarlara karþý güçlü	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Yýlan Tapýnaðý'ný veya Kuzey Rüzgar Derinlikleri'ni baþarýyla tamamlarsan ek bir hazine sandýðý alýrsýn.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Jotun Thrym'i yener veya Zodyak Tapýnaðý'ný baþarýyla tamamlarsan ek bir hazine sandýðý alýrsýn.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Azrail veya Beran-Setaou’i alt edersen ekstra bir hazine sandýðý alýrsýn.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Ýlerleme Enigma Tapýnaðý Bonus A: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Ýlerleme Enigma Tapýnaðý Bonus B: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Ýlerleme Enigma Tapýnaðý Bonus C: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Kutsal set bonusu	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Görkemli set bonusu	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Kahraman set bonusu	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Soylu set bonusu	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Heybetli set bonusu	SNA
TOOLTIP_AFFECT_SHACKLE	Kelepçe
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1f x Beceri hasarý
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Beceri Yankýsý
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Kýþ Sihri	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: Alýndý\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: Alýnmadý\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Kar Tanesi Sihri	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Yenilen canavarlardan kartopu ve kardan adam dallarý alabilirsin.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Sung Mahi laneti (%d defa istiflendi). HP oranýn istiflenme baþý ve her 10 saniyede bir %%10 düþer. 10 defaya kadar istiflenebilir.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Tüm SungMa deðerlerini %10 artýrýr.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Burasý Sung Mahi'nin iradesi ile dolu.
TOOLTIP_AFFECT_SUNGMA_HP	SungMa iradesi (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	SungMa iradeni (VIT) +%d artýrýr.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	SungMa iradesi (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	SungMa iradeni (INT) +%d artýrýr.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	SungMa iradesi (RES): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	SungMa iradeni (RES) +%d artýrýr.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 SungMa iradesi (RES)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	SungMa iradesi (STR): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	SungMa iradeni (STR) +%d artýrýr.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 SungMa iradesi (STR)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	%%10 hasar bonusu için kalan dolumlar: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Dünya patronu etkinliðinin günlük görev bonusu\n Saldýrý deðeri +%%%d	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Dünya patronu etkinliðinin rütbe bonusu\n Eþya düþürme +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Düþük rütbe puanlarýnda verilen hasar artar.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Kritik Vuruþ Direnci +%%%d	SA
TOOLTIP_ANTI_PENETRATE_PCT	Delici Vuruþ Direnci +%%%d	SA
TOOLTIP_ANTI_SELL	Depoda satýlamaz
TOOLTIP_APPLY_ACCEDRAIN_RATE	Emiþ oraný: %%%d	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Hayvanlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ninjalara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Çan savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Ok savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Pençe savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Zodyak canavarýna karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Hançer savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Çöl canavarýna karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Þeytanlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Yelpaze savunmasýndan kopuþ +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Yarý insanlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Böceklere karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Mistiklere karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Canavarlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orklara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Þamanlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Suralara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Kýlýç savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Çift el savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Ölümsüzlere karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Savasçýlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Lycanlar'a karþý güçlü + %%%d	SA
TOOLTIP_APPLY_BLEEDING_PCT	Kanama Saldýrýsý +%%%d	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Kanama saldýrýlarýnda direnç +%%%d	SA
TOOLTIP_APPLY_BLOCK	Yakýn dövüþ saldýrýlarý bloklama þansý: %%%d	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Savaþta her 5 saniyede SP yenile %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kritik Vuruþ Þansý: +%%%d	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Vuruþ yapýldýðýnda Sp geri kazaným þansý %%%d	SA
TOOLTIP_APPLY_DODGE	%%%d Oklarý savuþturma þansý	SA
TOOLTIP_APPLY_ENCHANT_DARK	Karanlýðýn gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Karanlýðýn gücü +%%%d ~ +%%%d
TOOLTIP_APPLY_ENCHANT_EARTH	Topraðýn gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Topraðýn gücü +%%%d ~ +%%%d
TOOLTIP_APPLY_ENCHANT_ELECT	Þimþeklerin gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Þimþeklerin gücü +%%%d ~ +%%%d
TOOLTIP_APPLY_ENCHANT_FIRE	Ateþin gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Ateþin gücü +%%%d ~ +%%%d
TOOLTIP_APPLY_ENCHANT_ICE	Buzun gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Buzun gücü +%%%d ~ +%%%d
TOOLTIP_APPLY_ENCHANT_WIND	Rüzgarýn gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Rüzgarýn gücü +%%%d ~ +%%%d
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	EXP Bonus þansý %%%d	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Ýki kat Yang düþme þansý %%%d	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Kanama karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Yere düþme karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Zehir karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Yavaþlama karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Sersemlik karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	Ýki Kat eþya düþme þansý %%%d	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	HP yenileme þansý %%%d	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	SP yenileme þansý %%%d	SA
TOOLTIP_APPLY_MANA_BURN_PCT	SP çalma þansý %%%d	SA
TOOLTIP_APPLY_MAX_HP_PCT	Maks. HP %%%d	SA
TOOLTIP_APPLY_MAX_SP_PCT	Maks. SP +%%%d	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Canavar saldýrýsýnda direnç %d	SA
TOOLTIP_APPLY_NOAFFECT	Efekt yok.
TOOLTIP_APPLY_NO_DEATH_PENALTY	Karakter ölüp burada baþla dediðinde deneyim kaybetmeyecek.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Ejderha Tanrýsý koruyucu kanatlarýný senin üzerinde tutuyor. Öldüðün yerde dirilirsen tecrübe puaný kaybetmezsin.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Delici Vuruþ için þansý %%%d	SA
TOOLTIP_APPLY_POISON_PCT	Zehirleme þansý %%%d	SA
TOOLTIP_APPLY_POISON_REDUCE	Zehre karþý koyma %%%d	SA
TOOLTIP_APPLY_POTION_BONUS	Ýksir etkisi %%%d yükseldi	SA
TOOLTIP_APPLY_REFLECT_CURSE	Lanet Yansýtýlmasý: %%%d	SA
TOOLTIP_APPLY_REFLECT_MELEE	Yakýn dövüþ vuruþlarýný yansýtma þansý: %%%d	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ninja saldýrýlarýna karþý savunma þansý %%%d	SA
TOOLTIP_APPLY_RESIST_BELL	Çan Savunmasý %%%d	SA
TOOLTIP_APPLY_RESIST_CLAW	Pençe savunmasý +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Býçak Savunmasý %%%d	SA
TOOLTIP_APPLY_RESIST_FAN	Yelpaze Savunmasý %%%d	SA
TOOLTIP_APPLY_RESIST_HUMAN	Yarý insanlara karþý direnç %%%d	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Düþüþ direnci +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Þaman saldýrýlarýna karþý savunma þansý: %%%d	SA
TOOLTIP_APPLY_RESIST_SURA	Sura saldýrýlarýna karþý savunma þansý: %%%d	SA
TOOLTIP_APPLY_RESIST_SWORD	Kýlýç Savunmasý %%%d	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Çift-El Savunma %%%d	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Savaþçý saldýrýlarýna karþý savunma þansý: %%%d	SA
TOOLTIP_APPLY_RESIST_WIND	Rüzgar Dayanýklýlýðý %%%d	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Lycanlar'a karþý savunma þansý +%%%d	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kitaptan öðrenme þansý 2,5 arttý	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Öðrenme baþarýsýz olursa, anýnda bir kere daha deneme þansýna sahipsin.	SNA
TOOLTIP_APPLY_SLOW_PCT	Yavaþlama þansý: %%%d	SA
TOOLTIP_APPLY_STEAL_HP	%%%d hasar, HP ile absorbe edilir	SA
TOOLTIP_APPLY_STEAL_SP	%%%d hasar, SP ile absorbe edilir	SA
TOOLTIP_APPLY_STUN_PCT	Bayýlma þansý: %%%d	SA
TOOLTIP_ARMOR	Zýrh
TOOLTIP_ARROW	Ok
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Hayvanlara karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_CZ	Zodyak canavarýna karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Çöl canavarýna karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Þeytanlara karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Yarý insanlara karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Böceklere karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Mistiklere karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Canavarlara karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_ORC	Orklara karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_STONE	Metin taþý karþýsýnda güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Ölümsüzlere karþý güçlü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ATTBONUS_STONE	+%%%d Metin taþý karþýsýnda güçlü	SA
TOOLTIP_ATT_GRADE	Saldýrý Deðeri +%d	SA
TOOLTIP_ATT_SPEED	Saldýrý Hýzý +%%%d	SA
TOOLTIP_ATT_SPEED_SLOW	Saldýrý hýzý düþtü	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Kalan süre: %d
TOOLTIP_AUTO_PICKUP	%%%d Olasýlýkla 30 saniye boyunca yakýnýndaki eþyalarý otomatik olarak toplayabilirsin	SA
TOOLTIP_AUTO_POTION_HP	Güneþ Özütü
TOOLTIP_AUTO_POTION_REST	Kalan miktar: %.2f%%
TOOLTIP_AUTO_POTION_SP	Ay Özütü
TOOLTIP_AUTO_POTION_USING	Etkin
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Otomatik Av	SNA
TOOLTIP_BATTLE_POTION	Savaþ Bölgesi Muharebe Ýksiri	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Sonsuz dayanýklýlýk	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Hareket hýzý artýrýldý	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Hareket hýzý düþürüldü	SNA
TOOLTIP_BOW_DISTANCE	Menzil +%dm	SA
TOOLTIP_BUYPRICE	Fiyatý: %s
TOOLTIP_CAST_SPEED	Büyü Hýzý +%%%d	SA
TOOLTIP_CON	Canlýlýk +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostüm bonusu %%%d	SA
TOOLTIP_CURSE_OF_ELEMENTAL	Elementer laneti (%d defa istiflendi). HP oranýn sürekli düþer. 10 defaya kadar istiflenebilir.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	%%%d hasarý HP olarak emer	SA
TOOLTIP_DAMAGE_SP_RECOVERY	%%%d hasarý SP olarak emer	SA
TOOLTIP_DEF_GRADE	Savunma +%d	SA
TOOLTIP_DEX	Çeviklik +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Binekten indiðinde hareket hýzý 10 saniye boyunca %d%% artar	SA
TOOLTIP_DRAGON_SOUL_DECK1	Gökyüzü	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Dünya	SNA
TOOLTIP_DS_SET	DSS Set etkisi	SNA
TOOLTIP_DURATION	Süre
TOOLTIP_EAR	Küpe
TOOLTIP_ENCHANT_PER_DARK	Karanlýðýn gücü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ENCHANT_PER_EARTH	Topraðýn gücü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ENCHANT_PER_ELECT	Þimþeklerin gücü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ENCHANT_PER_FIRE	Ateþin gücü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ENCHANT_PER_ICE	Buzun gücü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ENCHANT_PER_WIND	Rüzgarýn gücü (Toplam deðerin +%%%d oranýnda)	SA
TOOLTIP_ENERGY	Enerji %d	SA
TOOLTIP_ETC	v.b.
TOOLTIP_EXP_BONUS_EVENT	EXP +%%%d	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5. eklenen Bonus +%%%d	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1. eklenen Bonus +%%%d	SA
TOOLTIP_FISHINGROD_EXP	Puanlar %d / %d
TOOLTIP_FISHINGROD_LEVEL	Seviye: %d
TOOLTIP_FISHINGROD_UPGRADE1	Onu balýkçýya ver;
TOOLTIP_FISHINGROD_UPGRADE2	daha iyi
TOOLTIP_FISHINGROD_UPGRADE3	bir olta almak için.
TOOLTIP_FISH_LEN	Uzunluk: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Çiçek tohumlarý
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4. eklenen Bonus +%%%d	SA
TOOLTIP_GLOVE	Eldiven
TOOLTIP_GLOVE_BASE_EFFECT_INCREASE	Eldivenlerinin temel özellikleri +%d%% artýrýldý.	SA
TOOLTIP_GOLDEN_LAND_OASIS_SHOP_MERCH_REMAIN_COUNT	Kalan satýn almalar: %d
TOOLTIP_GUILD_SKILL_ACCEL	Hýzlandýrma +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Ejderha Tanrýsý Kutsamasý +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Ejderha Tanrýsý Kaný +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Ejderha Tanrýsý Öfkesi +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Büyü Desteði +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Kutsal Zýrh +%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+%20 EXP | +5% nesne düþürme | +%10 canavarlara karþý güçlü	SNA
TOOLTIP_HELMET	Kask
TOOLTIP_HIT_AREA_ELEC_ATTACK	Yakýndaki canavarlara normal saldýrýya eþit hasar veren þimþekle saldýr.	SNA
TOOLTIP_HIT_AUTO_HP_RECOVERY	Savaþ esnasýnda güneþ özütü efektine sahip olursun.	SNA
TOOLTIP_HIT_AUTO_SP_RECOVERY	Savaþ esnasýnda ay özütü efektine sahip olursun.	SNA
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Savaþta %d sn boyunca karanlýðýn gücünü al	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Savaþta %d sn boyunca topraðýn gücünü al	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Savaþta %d sn boyunca þimþeðin gücünü al	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Savaþta %d sn boyunca ateþin gücünü al	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Savaþta %d sn boyunca buzun gücünü al	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Savaþta %d sn boyunca rüzgarýnn gücünü al	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Savaþta %d sn boyunca karanlýk direnci al	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Savaþta %d sn boyunca toprak direnci al	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Savaþta %d sn boyunca þimþek direnci al	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Savaþta %d sn boyunca ateþ direnci al	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Savaþta %d sn boyunca buz direnci al	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Savaþta %d sn boyunca rüzgar direnci al	SA
TOOLTIP_HIT_BUFF_SUNGMA_HP	SungMa iradesini (VIT) savaþta %d saniye boyunca 15 oranýnda artýrýr	SA
TOOLTIP_HIT_BUFF_SUNGMA_IMMUNE	SungMa iradesini (INT) savaþta %d saniye boyunca 15 oranýnda artýrýr	SA
TOOLTIP_HIT_BUFF_SUNGMA_MOVE	SungMa iradesini (RES) savaþta %d saniye boyunca 15 oranýnda artýrýr	SA
TOOLTIP_HIT_BUFF_SUNGMA_STR	SungMa iradesini (STR) savaþta %d saniye boyunca 15 oranýnda artýrýr	SA
TOOLTIP_HIT_PCT	Tamlýk +%d	SA
TOOLTIP_HIT_STONE_ATTBONUS_STONE	Bir Metin taþýna saldýrý düzenlediðinde 5 saniye boyunca +%%%d hasar (Metin taþý karþýsýnda güç) alýrsýn	SA
TOOLTIP_HIT_STONE_DEF_GRADE_BONUS	Bir Metin taþýna saldýrý düzenlediðinde 5 saniye boyunca +%d savunma alýrsýn	SA
TOOLTIP_HP_REGEN	HP Üretimi +%%%d	SA
TOOLTIP_INSIGHT_SKILL_LEVEL	Mevcut Seviye: %d
TOOLTIP_INT	Zeka +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Saldýrý deðeri %d
TOOLTIP_ITEM_ATT_POWER	Saldýrý deðeri %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Saldýrý deðeri %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Saldýrý deðeri %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Saldýrý hýzý %s
TOOLTIP_ITEM_DEF_GRADE	Defans %d
TOOLTIP_ITEM_FAST	Hýzlý
TOOLTIP_ITEM_LIMIT_CON	Canlýlýk üst limiti: %d
TOOLTIP_ITEM_LIMIT_DEX	Çeviklik üst limiti: %d
TOOLTIP_ITEM_LIMIT_INT	Zeka üst limiti: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Seviye: %d
TOOLTIP_ITEM_LIMIT_NEWWORLD_LEVEL	Minimum þampiyon seviyesi: %d
TOOLTIP_ITEM_LIMIT_STR	Güç üst limiti: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Büyülü saldýrý deðeri %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Büyülü saldýrý deðeri %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Büyü Savunmasý %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Yavaþ
TOOLTIP_ITEM_VERY_FAST	Çok Hýzlý
TOOLTIP_ITEM_VERY_SLOW	Çok Yavaþ
TOOLTIP_ITEM_WEARABLE_JOB	[ Giyilebilir ]
TOOLTIP_KILL_BOSS_ITEM_BONUS	Bir patron yenildiðinde senin drop þansýn %%%d artar	SA
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Þans Numarasý: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Büyü Saldýrý +%%%d	SA
TOOLTIP_MAGIC_ATT_GRADE	Büyülü Saldýrý Deðeri +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Büyü Savunmasý +%d	SA
TOOLTIP_MALL_ATTBONUS	Saldýrý Deðeri +%%%d	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Saldýrý deðeri	SNA
TOOLTIP_MALL_AUTOLOOT	Yerdeki mevcut Yang`ýn otomatik olarak toplanmasýný saðlayan el.	SNA
TOOLTIP_MALL_DEFBONUS	Savunma +%%%d	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Savunma	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%%%d	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%%%d	SA
TOOLTIP_MALL_EXPBONUS_STATIC	%50 daha fazla EXP	SNA
TOOLTIP_MALL_FISH_MIND	Balýk yakalama þansýný ikiye katlar.	SNA
TOOLTIP_MALL_GOLDBONUS	Yang düþürme þansý %%%d arttý	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Ýki katý Yang düþürme þansý	SNA
TOOLTIP_MALL_ITEMBONUS	Nesne düþürme þansý %%%d arttý	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	Eþya ele geçirmede iCafe þansý için %%%.1f artýþ	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Nesne düþürme þansý %200 arttý.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Sevgi Puaný daha hýzlý artar.	SNA
TOOLTIP_MALL_SAFEBOX	Depoya fazladan 2 oda daha eklenir	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%%%d	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%%%d	SA
TOOLTIP_MAX_STAMINA	Max. Dayanýklýlýk +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Büyü Saldýrý / Yakýn Dövüþ Saldýrý +%%%d	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOB_HIT_MOB_AGGRESSIVE	Saldýrý esnasýnda %%%d olasýlýkla yakýndaki tüm canavarlar sana saldýrabilir (Cesaret Pelerini)	SA
